BAE,Industri,Email,Fax,Papan_Pencatatan,Telepon
PT. Bima Registra,Logistik & Pengantaran,corsec@habcomaritima.com,0761 20226,Pengembangan,0761 32236
PT. Bima Registra,Pembiayaan Konsumen,corp@radanafinance.co.id,021 50991089,Utama,021 50991088
PT. Adimitra Jasa Korpora,Pakaian & Barang Mewah,secretary@panasiagroup.co.id, astiya_c@panasiagroup.co.id,(022) 5205881,Pengembangan
PT. Adimitra Jasa Korpora,Maskapai Penerbangan,corsec@jatigroup.com,	(021) 58900033 ,Pengembangan,	(021) 58900022
PT. EDI Indonesia,Perdagangan Ritel Barang Primer,corsec@hero.co.id ,(021) 2986 4950 ,Utama,(021) 8378 8388
PT. EDI Indonesia,Minyak & Gas,corpsec@hits.co.id,021 - 509 66344,Utama,021 - 509 33155
PT. Raya Saham Registra,Rokok,maharani.subandhi@sampoerna.com,sutardi.sutardi@sampoerna.com,021-515-22-34,Utama
PT. Sinartama Gunita,Makanan Olahan,corsec@topikoki.com,021 5435 3120,Utama,021 5435 3110
PT. Ficomindo Buana Registrar,Pariwisata & Rekreasi,general@goodwayhotel.com,021 3048 5509,PENGEMBANGAN,021 30485536
PT. Bima Registra,Mesin,corporatesecretary@hdp.co.id,(+62-21) 5940 8708,PENGEMBANGAN,(+62-21) 5940 8707
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,corsec@ptsgl.com,25675572,Utama,25675505
PT. Sinartama Gunita,Pariwisata & Rekreasi,corsec@hrme.co.id,+62 21 3193 3019,Pengembangan,+62 21 3193 3018
PT. Datindo Entrycom,Batu Bara,corsec@harumenergy.com ,021-3983-1289,Utama, 021-3983-1288
PT BSR Indonesia,Batu Bara,corporate.secretary@indonesia-air.com,(62-21) 3912941,Pengembangan,(62-21) 3912935
PT. Adimitra Jasa Korpora,Pembiayaan Konsumen,corsec@ibf.co.id,(021) 440 8441,Pengembangan,"(021) 440 1408, 440 8442"
PT. Adimitra Jasa Korpora,Makanan Olahan,corsec@indobogasukses.com,0274 2885099,Akselerasi,0274 2880 288
PT. Sinartama Gunita,Jasa Telekomunikasi Nirkabel,corsec@ibstower.com,(021) 390-3473,Utama,(021) 3193-5919
PT. Raya Saham Registra,Makanan Olahan,corporate.secretary@icbp.indofood.co.id,6221 5793 7557,Utama,6221 5793 7500
PT. Raya Saham Registra,Konstruksi Bangunan,corporate_secretary@indopora.com,(021) 4604390,4604393,Utama
PT. Bima Registra,Perhutanan & Kertas,corporate.secretary@pt-ifi.com,(021) 6619303,Utama,(021) 6615555
PT. Bima Registra,Logam & Mineral,corporate@ifishdeco.com ,(021) 5704991,Pengembangan,(021) 5704988
PT. Sinartama Gunita,Peralatan Olah Raga & Barang Hobi,akbar@shelookred.com,(021) 5830 4809,Pengembangan,(021) 5830 4806
PT. Ficomindo Buana Registrar,Pariwisata & Rekreasi,corpsecretary_legal@intikeramik.com,(021) 83700436,Utama,(021) 83700435
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,admin@indonesiaseafood.net,021 6930120,Pengembangan,021 6930017
PT. Raya Saham Registra,Pembiayaan Konsumen,ita@indomobilmultijasa.com,(021) 29185401,Utama,(021) 29185400
PT. Datindo Entrycom,Farmasi,corsec@indofarma.id  dan  headoffice@indofarma.id ,(021) 8832 3972/73, 857 4503 ,Utama
PT. Adimitra Jasa Korpora,Logam & Mineral,info@indalcorp.com,(031) 8532812,PENGEMBANGAN,(031) 8531531 ext. 3431
PT. EDI Indonesia,Barang Kimia,intanwijaya898@gmail.com,"021-5308632, 5308633 ",Utama,021-5308637
PT. Bima Registra,Logam & Mineral,ptvi-corpsec@vale.com,(62) 21 524-9020,Utama,(62) 21 524-9000
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,021-3983 7700,021-3983 7700,Pengembangan,021-3983 9900
PT. Adimitra Jasa Korpora,Pakaian & Barang Mewah,vishnu.baldwa@indorama.com, arun.dalmia@indorama.com, naryono@indorama.com ,-5261467
PT. Adimitra Jasa Korpora,Jasa Profesional,corsec@tanahlaut.co.id,021 - 2782 0991,Pengembangan,021 - 2781 2154 / 56 - 57
PT. Datindo Entrycom,Batu Bara,info@indikaenergy.co.id,(021) 25579889,Utama,(021) 25579888
PT. Adimitra Jasa Korpora,Pakaian & Barang Mewah,info@inocycle.com,(021) 590 3310,Pengembangan,021 5909626
PT. Raya Saham Registra,Bank,co_secretary@ag.co.id,(021) 515-3157,Utama,(021) 515-2168
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,info@theparadise-group.com,-29874239,Pengembangan,-29874245
PT. Adimitra Jasa Korpora,Minyak & Gas,corporate.secretary@inprasegroup.co.id,(62-21) 658 37838,Pengembangan,(62-21) 658 37620
PT. Raya Saham Registra,Perhutanan & Kertas,investor_relation@tobapulp.com,+62 61 453 0967,Pengembangan,+62 61 453 2088
PT. Adimitra Jasa Korpora,Mesin,corpsec@intracopenta.com,021-4419330, 021-4413882,Pengembangan
PT. Adimitra Jasa Korpora,Perhutanan & Kertas,corpsecr@interdelta.co.id,021 6510472,Pengembangan,021 6523333
PT. Raya Saham Registra,Material Konstruksi,corpsec@indocement.co.id,021-87941166,Utama,021-8754343 ext 3808
PT. Datindo Entrycom,Pengelola & Pengembang Real Estat,corsec@eraindonesia.com,(021) 570 4776 / (021) 570 8082,Akselerasi,(021) 570 8000 / (021) 2967 5123
PT. EDI Indonesia,Operator Infrastruktur Transportasi,corsec.ipcc1@gmail.com,021-4393 2250,Utama,021-4393 2251
PT. EDI Indonesia,Operator Infrastruktur Transportasi,corsec@ipcmarine.co.id,(021) 436 6789,Utama,(021) 430 6789
PT. Raya Saham Registra,Wadah & Kemasan,corpsec@indopoly.co.id,021- 5224001,Utama,021- 2510088
PT. Adimitra Jasa Korpora,Peralatan & Perlengkapan Kesehatan,corsec@itama.co.id,(021) 29067208,Pengembangan,(021) 29067207
PT. Adimitra Jasa Korpora,Rokok,office@indonesiantobacco.com,-429066,Pengembangan,-428676
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corsec@ptjar.com,+62 518 2090001,Pengembangan,+62 518 2090000
PT. Adimitra Jasa Korpora,Jasa Telekomunikasi,corpsec@jasnita.co.id,021-391 6282,Pengembangan,021-2856 5288
PT. Raya Saham Registra,Produk Makanan Pertanian,corsec@jawattie.com,021-3505906,Utama,021-3505906
PT. Datindo Entrycom,Kelistrikan,antonius_benady@jembo.com,(021) 26646934,PENGEMBANGAN,(021) 26646933
PT. Ficomindo Buana Registrar,Pariwisata & Rekreasi,info@jungleseries.co.id,0251-8211295,Pengembangan,0251-8211290
PT. Sirca Datapro Perdana,Pariwisata & Rekreasi,jihd@jihd.co.id,5152546,Pengembangan,5152516
PT. Adimitra Jasa Korpora,Konstruksi Bangunan,info@jayakonstruksi.com,7363959,Utama,7363939
PT. Adimitra Jasa Korpora,Material Konstruksi,jkswtbk@yahoo.co.id,4602831,Pengembangan,460-28-32
PT. Sharestar Indonesia,Asuransi,cs.info@jmasyariah.com,82470086,Pengembangan,82470083
PT. Sirca Datapro Perdana,Pengelola & Pengembang Real Estat,corporate@jayareal.co.id,021 - 745 3333,Utama,021 - 745 8888
PT. Bima Registra,Peralatan Energi Alternatif,corporate@sky-energy.co.id,(021) 7223140,Utama,(021) 7262081
PT. Bima Registra,Jasa Komersial,corporate.secretary@jasuindo.com,(031) 891-0928,Pengembangan,(031) 891-0919
PT. Raya Saham Registra,Operator Infrastruktur Transportasi,wsitumeang@ictsi.com,+62 21 65314711,Pengembangan,+62 21 65314710
PT. Bima Registra,Perhutanan & Kertas,corporate.secretary@darbewood.com,+62 31 596 7274,Pengembangan,+62 31 596 7274
PT. Bima Registra,Pengelola & Pengembang Real Estat,corsec@kbag.co.id,(0542) 8820 399,Pengembangan,(0542) 765888
PT. Sinartama Gunita,Wadah & Kemasan,corsec@kdsi-ind.com,(031) 7661981,Pengembangan,(031) 7661983
PT. Raya Saham Registra,Utilitas Listrik,corporate.secretary@kencanaenergy.com, +62.21.386.7686,Utama,+62.21.5890.0791
PT. Bima Registra,Makanan Olahan,corp.secretary@prochiz.co.id,021 ? 8990 8485,Pengembangan,021 ? 8990 8468
PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,corsec@kiaceramics.com,(021) 3862374,Pengembangan,(021) 3506227
PT. Raya Saham Registra,Barang Rumah Tangga,kedawung@sby.centrin.net.id,(031) 8705212,UTAMA,(031) 8700088
PT. Datindo Entrycom,Pengelola & Pengembang Real Estat,corsec@jababeka.com,5727279,Utama,5727337
PT. Datindo Entrycom,Produk Perawatan Tubuh,budi.muljono@kino.co.id,021-80821123,Utama,021-80821100
PT. Sinartama Gunita,Aplikasi & Jasa Internet,corsec@kioson.com,+62 21 30056256,Pengembangan,+62 21 30056255 / 30056284
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,corpsec8899@gmail.com,31901331,Pengembangan,31901010
PT. EDI Indonesia,Batu Bara,nfo@raintbk.com, investor.relations@raintbk.com,021 - 6337006,Utama
PT. Adimitra Jasa Korpora,Farmasi,info@kalbe.co.id,42873680,Utama,42873888
PT. Adimitra Jasa Korpora,Ritel Khusus,corsec@klinkoindonesia.com,(031) 7507139,Akselerasi,(031) 7509833
PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,corporate@kmds.co.id,(021) 2904 7378,Pengembangan,(021) 2235 3388
PT. Adimitra Jasa Korpora,Perhutanan & Kertas,corporate@kiranamegatara.com,(021) 5794 7999,Pengembangan,(021) 5794 7988
PT. Datindo Entrycom,Mesin,corsec@kobexindo.com,"(021) 6470-0900, 6470-0909",Utama,"(021) 6470-0800, 6470-0808"
PT. Adimitra Jasa Korpora,Produk & Perlengkapan Bangunan,Corsec@pt-kokoh.com,350 1767,Pengembangan,350-6227
PT. Sinartama Gunita,Jasa Komersial,secretary.corp@perdanagroup.co.id,021 - 4216502,Pengembangan,021 - 422 1888
PT. Sinartama Gunita,Minyak & Gas,corporate.secretary@mitraenergipersada.com ,(021) 794 5837,Pengembangan,(021) 794 5838
PT. Adimitra Jasa Korpora,Produk Perawatan Tubuh,corsec@cottonindo.com ,022 - 86066521,Pengembangan,022-86066517
PT BSR Indonesia,Pariwisata & Rekreasi,corporate.secretary@mncland.com,3921227,Pengembangan,3929828
PT. Raya Saham Registra,Mesin,info@grandkartech.com, corporate.secretary@grandkartech.com,(021) 4603702,Pengembangan
PT BSR Indonesia,Logam & Mineral,corsec@krakatausteel.com,(021) 5200876,Utama,(021) 5221255
PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,corsec@kresnainvestments.com,+62 21 515 5280,Utama,+62 21 515 2889
PT. Bima Registra,Konstruksi Bangunan,corsec@ptbkpjaya.com,(031)73882177,Pengembangan,(031)7344509
PT. Bima Registra,Produk & Perlengkapan Bangunan,corsec@aceoldfields.com,(021) 823 0122,Pengembangan,(021) 824 98246 / 823 22021
PT. Adimitra Jasa Korpora,Mesin,lbm@ladangbajamurni.com,216511595,Pengembangan,216511595
PT. Ficomindo Buana Registrar,Utilitas Listrik,corsec@leyand.com,+62 (21) 72781896,Pengembangan,+62 (21) 72781895
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,eureka.prima.jakarta@gmail.com,021 - 22094949,Pengembangan,021 - 22094000
PT. Sinartama Gunita,Jasa Telekomunikasi Nirkabel,corsec@lckglobal.co.id,(021)21475967,Pengembangan,(021) 21475967
PT. Raya Saham Registra,Minyak & Gas,corporate@logindo.com  ,021-6471 3220 ,UTAMA,021-6471 3088
PT. Sinartama Gunita,Asuransi,corsec@sinarmasmsiglife.co.id,021-50608899,Utama,021-50597777
PT. Sirca Datapro Perdana,Jasa Komersial,ptlion@lionmetal.co.id,(021) 4600785,Utama,(021) 4600779
PT. Datindo Entrycom,Barang Rumah Tangga,corp_sec@langgengmakmur.com,(031) 8533588,PENGEMBANGAN,(031) 8533688
PT. Sirca Datapro Perdana,Logam & Mineral,lmp@lionmesh.com,(021) 4600785,Pengembangan,(021) 4600784
PT. Sharestar Indonesia,Asuransi,corporate.secretary@lippoinsurance.com,525-7161,Utama,525-6161
PT. Sharestar Indonesia,Komponen Otomotif,corporatesecretary@multiprimasejahtera.net rivaldi.ys@multiprimasejahtera.net ,(021) 2300 450 ,Pengembangan,(021) 5589 767
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corsec@lippokarawaci.co.id,2566 9099,Utama,2566 9000
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corporate.secretary@star-pacific.co,(3221) 5577 7222 / 5577 7083,Pengembangan,(6221) 5577 7111
PT. Sharestar Indonesia,Perusahaan Holding & Investasi,corporate@lenox-pasifik.co.id,021-5515970,Pengembangan,021-5516588
PT. Raya Saham Registra,Produk Makanan Pertanian,lonsum@londonsumatra.com,021-80657399,Utama,021-80657388
PT. Datindo Entrycom,Pariwisata & Rekreasi,corsec@mabaindonesia.com,+62 21 2279 0881,PENGEMBANGAN,+62 21 2279 0880
PT BSR Indonesia,Produk Makanan Pertanian,investor@mag-plantations.co.id,021-7251488,Pengembangan,021 39842999
PT. Sinartama Gunita,Produk Makanan Pertanian,bibitindo@malindofeedmill.co.id,leongjkt@cbn.net.id,7237778,Utama
PT. Datindo Entrycom,Pariwisata & Rekreasi,mamijakarta@yahoo.com,(031) 5312367,Pengembangan,(031) 5321001
PT. Datindo Entrycom,Ritel Khusus,corpsec@mapactive.id,021 - 2788 9888,Utama,021 - 8064 8488
PT. Datindo Entrycom,Pariwisata & Rekreasi,corporatesecretary@mbai.co.id,(021) 574 6786,Pengembangan,(021) 574 5808
PT. Adimitra Jasa Korpora,Media,corsec@mari.co.id, corsec@mahakaradiointegra.com,(021) 8370 7172,Pengembangan
PT. Adimitra Jasa Korpora,Mesin,mdcps@nusa.net.id,(6261) 794 0747,Utama,(6261) 794 0715
PT. Raya Saham Registra,Komponen Otomotif,corporate-secretary@multistrada.co.id,(+62 21) 891-40-851,Utama,(+62 21) 891-40-333
PT. Adimitra Jasa Korpora,Bank,corsec@bankmas.co.id,(021) 5790 6005,Pengembangan,(021) 57906006
PT. Datindo Entrycom,Batu Bara,corsec@mitrabaraadiperdana.co.id,+6221 63864062,Pengembangan,+6221 63864061
PT. Datindo Entrycom,Batu Bara,corporate.secretary@mbss.co.id,(021) 57944768,Utama,(021) 57944766
PT. Adimitra Jasa Korpora,Produk Perawatan Tubuh,corpsecretary@martinaberto.co.id,021-468-26316,Utama,021-460-3717
PT. Raya Saham Registra,Batu Bara,corporate.secretary@mandiricoal.co.id,(021) 29333191,Utama,(021) 29333189
PT. Sinartama Gunita,Bank,corsec@idn.ccb.com,021-50821010,Utama,021-50821000
PT. Sinartama Gunita,Media,corsec@imc.co.id,(6221) 29941789,Pengembangan,(+6221) 29912182
PT. Adimitra Jasa Korpora,Barang Kimia,corsec@emdeki.co.id , (+62-31) 7507234 ,Utama, (+62-31) 7507001 / 7508155
PT. EDI Indonesia,Jasa Komersial,johannis@moderninternasional.co.id,021-00000000,Pengembangan,021-27933378
PT. Sinartama Gunita,Peralatan & Perlengkapan Kesehatan,info@hetzermedicalindonesia.co.id,+62 22 6613426,Pengembangan,+62 22 6008749
PT. EDI Indonesia,Farmasi,melisa.sandrianti@merckgroup.com,28565601,PENGEMBANGAN,28565600
PT. Adimitra Jasa Korpora,Operator Infrastruktur Transportasi,corsec@nusantarainfrastructure.com,+6221 - 515 1221,Utama,+6221 - 515 0100
PT. Sharestar Indonesia,Jasa Komersial,mmi.corsec@ironmountain.com,021-897 2527,Pengembangan,021-8990 7636
PT. Bima Registra,Barang Rumah Tangga,corsec@pancaanugrahwisesa.com,+62 21 5720543,Akselerasi,+62 21 5720543
PT. Ficomindo Buana Registrar,Perusahaan Holding & Investasi,indah@magnafinance.co.id dan indahzahwan6@gmail.com,(021) 63870042,Pengembangan,(021) 63870041
PT. Adimitra Jasa Korpora,Barang Rumah Tangga,corp.sec@mic.co.id,(021) 2937 9212,PENGEMBANGAN,(021) 2936 8888
PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,aan.suantopo@mu.co.id,(021) 8082 1628,Pengembangan,(021) 8082 1618
PT. Adimitra Jasa Korpora,Penyedia Jasa Kesehatan,corporate.secretary@mitrakeluarga.com,(021) 4585 2727,Utama,(021) 4585 2700
PT. Datindo Entrycom,Pariwisata & Rekreasi,shm@sanurhastamitra.com,(021) 29035619,Pengembangan,(021) 29035620
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,corsecmitrarajasa@gmail.com,+62 21 8671536,Pengembangan,+62 21 8671237/8671537
PT. Ficomindo Buana Registrar,Distributor Barang Konsumen,cs@ptmkn.com,021-30056256,Pengembangan,021-30056255
PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,corsec@pondokindahgroup.co.id ,(021) 7694989 ,Pengembangan,(021) 7505757
PT. Raya Saham Registra,Minuman,eka_lesdiana@multibintang.co.id,021 - 619-0190,Utama,619-01-08
PT. Raya Saham Registra,Produk & Perlengkapan Bangunan,nila@muliagroup.co.id,(021) 25982814,Pengembangan,(021) 22513000
PT. Sharestar Indonesia,Perusahaan Holding Multi-sektor,natalie.lie@mpc.id,021 - 5475147,Utama,021 - 5468888
PT. Sharestar Indonesia,Jasa & Konsultan TI,corsec.mlpt@multipolar.com,(021) 5460020,Utama,(021) 55777000
PT BSR Indonesia,Media,corsec.mncmedia@mncgroup.com,021-3904965,Utama,021-3900885
PT. Adimitra Jasa Korpora,Barang Kimia,corsec@molindo.co.id,(0341) 426 222,Pengembangan,(0341) 426 681
PT. Sinartama Gunita,Jasa Telekomunikasi,corsec@moratelindo.co.id,(021) 3142882,Utama,(021) 31998600
PT. Datindo Entrycom,Ritel Khusus,corsecmpm@mpm-ho.com,(021) 2911 0320,Utama,(021) 2971 0170
PT. EDI Indonesia,Utilitas Listrik,info@megapowermakmur.co.id,(21) 5883594,Pengembangan,(021) 5883595
PT. Sharestar Indonesia,Perdagangan Ritel Barang Primer,danny.kojongian@hypermart.co.id,(62-21) 8061 5757,Utama,(62-21) 5081 3000
PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,corsec@mahaproperti.co.id,+6221 2500 679,Pengembangan,+6221 2500 608
PT. Datindo Entrycom,Produk Perawatan Tubuh,info@mustika-ratu.co.id,"021-830-6753, 830-6760",Utama,"021-8306754, 8306759, 8307419"
PT. EDI Indonesia,Asuransi,marein@marein-re.com,5793 6580, 5793 6583,Pengembangan
PT BSR Indonesia,Hiburan & Film,corsec.mde@mncgroup.com,(021) 5300449,Utama,(021) 5307710
PT BSR Indonesia,Media,corsec.msky@mncgroup.com,021-5825620,Utama,021-5828000
PT. Datindo Entrycom,Perangkat Komputer,investor-relations@metrodata.co.id ,+ 62 ? 21 ? 29345 899,Utama,+ 62 ? 21 ? 29345 888
PT. Datindo Entrycom,Jasa Telekomunikasi Nirkabel,corporate.secretary@mitratel.co.id,021 22770817,Utama,021 2793 3363
PT. Ficomindo Buana Registrar,Minyak & Gas,legal@capitalinc-investment.com,021 - 2793 2002,Pengembangan,021 - 2751 7000
PT. Raya Saham Registra,Pengelola & Pengembang Real Estat,corpsec@metropolitanland.com,021-28085555,Utama,021-28087777
PT. Adimitra Jasa Korpora,Penyedia Jasa Kesehatan,corporate-secretary@rsmurniteguh.com,(+62) 61 8050 1800,Utama,(+62) 61 8050 1888
PT. Datindo Entrycom,Konstruksi Bangunan,corpsec@metaepsi.com,218564956,PENGEMBANGAN,218564955
PT. Datindo Entrycom,Konstruksi Bangunan,mitrapemuda@cbn.net.id,021-66671547,Pengembangan,021-66671549
PT. Adimitra Jasa Korpora,Asuransi,corsec@mtwi.co.id,021-25989837,Pengembangan,021-25989830
PT. Ficomindo Buana Registrar,Pengelola & Pengembang Real Estat,corsec.hanson1971@gmail.com,	(021) 521-4555,Pengembangan,	(021) 521-3555
PT. Adimitra Jasa Korpora,Pakaian & Barang Mewah,corporate_secretary@apacinti.com,(021) 556 678 33,Pengembangan,(021) 556 688 88 Ext.3402
PT. Datindo Entrycom,Produk Perawatan Tubuh,corsec@nig.co.id,(021) 7568 1294,Akselerasi,(021) 7568 1294
PT. Adimitra Jasa Korpora,Makanan Olahan,corsec@wahanaintimakmur.com,(021) 59728819,Pengembangan,(021) 59728819
PT. Ficomindo Buana Registrar,Pariwisata & Rekreasi,admin@suryapermataandalan.co.id,	(0361) 731652 ,Pengembangan,	(0361) 738163
PT. Datindo Entrycom,Logistik & Pengantaran,corsec@nellydwiputri.com,021-3809280,Pengembangan,021-3859649
PT. Adimitra Jasa Korpora,Media,cs@netvisimedia.co.id,(62-21) 2954-6200,Pengembangan,(62-21) 5050-6100
PT. Raya Saham Registra,Aplikasi & Jasa Internet,corporate@ptnfc.com,021 30480713,Pengembangan,021 30480711
PT. Sinartama Gunita,Perusahaan Holding & Investasi,info@charmic.com,215226518,PENGEMBANGAN,215226488
PT. Sharestar Indonesia,Pengelola & Pengembang Real Estat,corpsec@cityretaildevelopments.com,-50836658,Pengembangan,-50836657
PT. Raya Saham Registra,Bank,corporate.secretary@ocbcnisp.com,(021) 57944000,Utama,(021) 25533888
PT. Sharestar Indonesia,Bank,corsec@nobubank.com,(021) 2553 5130,Utama,(021) 2553 5128
PT. Bima Registra,Barang Kimia,corporatesecretary@ptnpg.com,(031) 8982405,Utama,(031)8982405
PT. Sinartama Gunita,Konstruksi Bangunan,corsec@nusarayacipta.com,"021-8193544, 8193471",Utama,"021-8193526, 8193582"
PT. Bima Registra,Mesin,corsec@nusatama.com, +62-21 825 0248,Pengembangan,+62-21 825 0659
PT. Ficomindo Buana Registrar,Pariwisata & Rekreasi,corsec@sinergimegahtbk.com,(0274) 2924778,Pengembangan,(0274) 2924777
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,nusantara@ristiagroup.com ,+62 267 432851 ,UTAMA,+62 267 432851
PT. Sinartama Gunita,Jasa Telekomunikasi Nirkabel,info@protechmitraperkasa.com,(021) 5226517,Pengembangan,(021) 50105555
PT. Sinartama Gunita,Perusahaan Holding & Investasi,jenty@ocap.co.id,31901616,Pengembangan,31901777 (general)
PT. Bima Registra,Produk Makanan Pertanian,corseciop@ioperkasa.com,(0321) 367 0749,Pengembangan,(0321) 367 1741
PT. Sinartama Gunita,Barang Kimia,corporate.secretary@ancorair.com,+62 21-29035335,Pengembangan,+62 21-29035011
PT. Bima Registra,Barang Rumah Tangga,coorporatesecretary@oscarliving.com,62218514910,Akselerasi,62218514909
PT. Adimitra Jasa Korpora,Jasa Investasi,djoko@minnapadi.com ,021-5271527,Utama,021-5255555
PT. Datindo Entrycom,Produk Makanan Pertanian,investor.relation@provident-agro.com ,(021) 2157 2009 ,Pengembangan,(021) 2157 2008
PT. Bima Registra,Pengelola & Pengembang Real Estat,corsec@bimasaktipertiwi.com,0761 853888,Utama,0761 853888
PT. Raya Saham Registra,Pariwisata & Rekreasi,corsec.panr@panorama-group.com,+62 21 2556.5055,Utama,+62 21 2556.5000
PT. Sinartama Gunita,Jasa Investasi,corsec@pans.co.id,021-5153061,Utama,021-5153055
PT. Datindo Entrycom,Wadah & Kemasan,investor.relation@pancabudi.com,021-54365559,Utama,021-54365555
PT. Sinartama Gunita,Konstruksi Bangunan,info@paramita.co.id ,021-7205372,Utama,021-7205466
PT. Ficomindo Buana Registrar,Perdagangan Ritel Barang Primer,cs@pcafoods.com,62248661861,Pengembangan,62248661860
PT. Raya Saham Registra,Pariwisata & Rekreasi,corsec.pdes@panorama-destination.com,021-56958586,Pengembangan,021-56958585
PT. Ficomindo Buana Registrar,Perusahaan Holding & Investasi,pgkapital@pancaglobal.co.id,021-5155461,Pengembangan,021-5150196
PT. Datindo Entrycom,Farmasi,corporate@phapros.co.id,021 5763910,Utama,021 5762709
PT. Datindo Entrycom,Minyak & Gas,PGN.InvestorRelation@pertamina.com,021-6333080,Utama,021-6334838
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,info@ptpgli.co.id,061-4534111,Pengembangan,061-4535888
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corsec@pradiksi.co.id,(021) 51401075,Utama,(0518) 2090000
PT. Ficomindo Buana Registrar,Wadah & Kemasan,corpsec@pic.co.id,(021) 6193446,Pengembangan,(021) 6192222
PT. Sharestar Indonesia,Perusahaan Holding & Investasi,corsec@polarisinvestama.co.id,5289 7399,PENGEMBANGAN,5289 7418
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,corsec@plazaindonesia.com,(021) 29921111,Utama,(021) 29920000
PT. Sharestar Indonesia,Ritel Khusus,corpsec@ptpmj.co.id,(021) 30060088,Pengembangan,(021) 30060000
PT. Adimitra Jasa Korpora,Perhutanan & Kertas,corporate.secretary@pinagoutama.com,(021) 55965977,Pengembangan,(021) 55966133
PT. Sinartama Gunita,Asuransi,panin@paninvest.co.id,548-4047,Utama,548-1974
PT. Sinartama Gunita,Asuransi,panin@paninlife.co.id,25566818,Utama,25566822
PT. EDI Indonesia,Pariwisata & Rekreasi,pnse@cbn.net.id,021 - 6399573,Pengembangan,021 - 6593626
PT. Ficomindo Buana Registrar,Pembiayaan Konsumen,corsec.paf@pooladvista.com,+62 21 2951 0202,Pengembangan,+62 21 8062 6300
PT. Datindo Entrycom,Pengelola & Pengembang Real Estat,corporate.secretary@pollux.co.id,(024) 86579272,Pengembangan,(024) 3562111
PT. Datindo Entrycom,Pengelola & Pengembang Real Estat,corpsec@pollux.co.id,(021) 2918 3112,Pengembangan,(021) 2918 3111
PT. Datindo Entrycom,Pakaian & Barang Mewah,corsec@pt-goldenflower.com,024 - 692 1327,Pengembangan,024 - 692 1228
PT. Datindo Entrycom,Pakaian & Barang Mewah,tunaryo@apf.co.id,021-579.38565,Pengembangan,021-579.38555
PT. Adimitra Jasa Korpora,Perusahaan Holding & Investasi,contact.pai@pooladvista.com,021-53663180,Pengembangan,021-86026300
PT. Datindo Entrycom,Operator Infrastruktur Transportasi,cs@nusantaraport.id ,(021) 2243 5525,Pengembangan,(021) 2243 5010
PT. Datindo Entrycom,Utilitas Listrik,corpsec@listrindo.com,62215224440,Utama,62215228122
PT. Raya Saham Registra,Komponen Otomotif,corsec@panther-wheels.net,(031) 8531877,  (031) 853-4166,Utama
PT. Datindo Entrycom,Penyedia Jasa Kesehatan,investor.relation@prodia.co.id,021-3144181,Utama,021-3144182
PT. Bima Registra,Penyedia Jasa Kesehatan,corsec@royalprima.com,(021) 80013181,Pengembangan,(021) 88813182/2
PT. Datindo Entrycom,Produk Makanan Pertanian,corporate.secretary@palmaserasih.co.id,+62 21 2854 6081,Pengembangan,+62 21 2854 6080
PT. Datindo Entrycom,Batu Bara,corsec@ptpss.co.id,+62 21 80600801,Utama,+62 21 80600800
PT. Datindo Entrycom,Batu Bara,corsec@bukitasam.co.id,021 - 5254002,Utama,(021) 5254014
PT. Adimitra Jasa Korpora,Konstruksi Bangunan,corsec@djasaubersakti.co.id,217508037,Pengembangan,217660114
PT. Sinartama Gunita,Batu Bara,straits@indosat.net.id,021-65311265,Utama,021-65311285
PT. Adimitra Jasa Korpora,Konstruksi Bangunan,corsec@pratamawidya.com,021-557 01567,Pengembangan,021-557 82407/18
PT. Datindo Entrycom,"Pendukung Minyak, Gas & Batu Bara",corporate.secretary@petrosea.com,021-29770988,Utama,021-29770999
PT. EDI Indonesia,Pengelola & Pengembang Real Estat,erna@pudjiadiprestige.co.id, info@pudjiadiprestige.co.id,021 - 6240981,UTAMA
PT. Bima Registra,Logistik & Pengantaran,info@puratrans.com,(031) 99850898,Pengembangan,(031) 99013573
PT. Bima Registra,Logam & Mineral,corporate@trinitanmetals.com,+62 21 867 0562,Utama,+62 21 867 8999
